cve,repo,commit
CVE-2012-2673,bdwgc,e10c1eb9908c2774c16b3148b30d2f3823d66a9a
CVE-2012-2673,bdwgc,be9df82919960214ee4b9d3313523bff44fd99e1
CVE-2020-28954,bigbluebutton,e59bcd0c33a6a3203c011faa8823ba2cac1e4f37
CVE-2020-28954,bigbluebutton,5c911ddeec4493f40f42e2f137800ed4692004a4
CVE-2020-27153,bluez,5a180f2ec9edfacafd95e5fed20d36fe8e077f07
CVE-2020-27153,bluez,1cd644db8c23a2f530ddb93cebed7dacc5f5721a
CVE-2022-21675,bytecode-viewer,c968e94b2c93da434a4ecfac6d08eda162d615d0
CVE-2022-21675,bytecode-viewer,1ec02658fe6858162f5e6a24f97928de6696c5cb
CVE-2022-25321,cerebrate,e13b4e7bc5f1a0ff59b52162cc99405e89c0544a
CVE-2022-25321,cerebrate,14ec995c2bd618b181197dc6b64e63fd966b4860
CVE-2020-28919,checkmk,c00f450f884d8a229b7d8ab3f0452ed802a1ae04
CVE-2020-28919,checkmk,e7fd8e4c90be490e4293ec91804d00ec01af5ca6
CVE-2020-28349,chirpstack-network-server,f996bb0c6c85281b5658f59ff09db1b4a73db453
CVE-2020-28349,chirpstack-network-server,874fc1a9b01045ebe8a340f0bb01ed19e8256e60
CVE-2020-26759,clickhouse-driver,d708ed548e1d6f254ba81a21de8ba543a53b5598
CVE-2020-26759,clickhouse-driver,3e990547e064b8fca916b23a0f7d6fe8c63c7f6b
CVE-2019-10260,cms,8b9d7dada998c08d172481d9f0fc0397c4b3c78d
CVE-2019-10260,cms,75205f93009db3cf8c0b0f4f1fc8ab82d70da8ad
CVE-2020-35846,cockpit,2a385af8d80ed60d40d386ed813c1039db00c466
CVE-2020-35846,cockpit,33e7199575631ba1f74cba6b16b10c820bec59af
CVE-2020-35846,cockpit,79fc9631ffa29146e3124ceaf99879b92e1ef24b
CVE-2020-35847,cockpit,2a385af8d80ed60d40d386ed813c1039db00c466
CVE-2020-35847,cockpit,33e7199575631ba1f74cba6b16b10c820bec59af
CVE-2020-35847,cockpit,79fc9631ffa29146e3124ceaf99879b92e1ef24b
CVE-2020-35848,cockpit,2a385af8d80ed60d40d386ed813c1039db00c466
CVE-2020-35848,cockpit,33e7199575631ba1f74cba6b16b10c820bec59af
CVE-2020-35848,cockpit,79fc9631ffa29146e3124ceaf99879b92e1ef24b
CVE-2021-32638,codeql-action,58defc0652e935f6f2ffc70a82828b98d75476fb
CVE-2021-32638,codeql-action,88714e3a60e72ec53caa0e6a203652ee1f3fb1db
CVE-2021-32631,common,a59ad46733912a5580530e39cac0e6ebc83cc563
CVE-2021-32631,common,12197a755bd524559bf4e16475595a2c6fcd34db
CVE-2021-32631,common,3b96cb0293d3443b870351945f41d7d55cb34b53
CVE-2012-4393,core,38271ded753bc9ea9943cef3c2706f8d71f3a58f
CVE-2012-4393,core,93579d88dcea389205c01ddf6da41f37ad9b8745
CVE-2012-4396,core,44260a552cd4ee50ee11eee45164c725f56f7027
CVE-2012-4396,core,e817504569dce49fd7a677fa510e500394af0c48
CVE-2012-4396,core,f955f6a6857754826af8903475688ba54f72c1bb
CVE-2012-4396,core,8f616ecf76aac4a8b554fbf5a90b1645d0f25438
CVE-2012-4396,core,642e7ce110cb8c320072532c29abe003385d50f5
CVE-2012-4396,core,d294373f476c795aaee7dc2444e7edfdea01a606
CVE-2012-4396,core,8f09299e2468dfc4f9ec72b05acf47de3ef9d1d7
CVE-2012-4396,core,f8337c9d723039760eecccf68bcb02752551e254
CVE-2012-4396,core,cc653a8a408adfb4d0cd532145668aacd85ad96c
CVE-2012-4397,core,00595351400523168e18a08e3ffa5c3b1e7c1f6e
CVE-2012-4397,core,54a371700554ed21a5cb7db03126b6c95ae4cbd3
CVE-2020-9757,craft-seomatic,65ab659cb6c914c7ad671af1e417c0da2431f79b
CVE-2020-9757,craft-seomatic,a1c2cad7e126132d2442ec8ec8e9ab43df02cc0f
CVE-2021-41750,craft-seomatic,4e46b792ce973ac0c652fb330055f41aca1981c8
CVE-2021-41750,craft-seomatic,5f2cdc7c39e0a4bfb60d2f84131508f0a87b2873
CVE-2020-11722,crawl,fc522ff6eb1bbb85e3de60c60a45762571e48c28
CVE-2020-11722,crawl,768f60da87a3fa0b5561da5ade9309577c176d04
CVE-2021-41269,cron-utils,d6707503ec2f20947f79e38f861dba93b39df9da
CVE-2021-41269,cron-utils,cfd2880f80e62ea74b92fa83474c2aabdb9899da
CVE-2022-24802,deepmerge-ts,d637db7e4fb2bfb113cb4bc1c85a125936d7081b
CVE-2022-24802,deepmerge-ts,b39f1a93d9e1c3541bd2fe159fd696a16dbe1c72
CVE-2019-1020017,discourse,e6e47f2fb22764c92aaa90445c7bf203192fba11
CVE-2019-1020017,discourse,b8340c6c8e50a71ff1bca9654b9126ca5a84ce9a
CVE-2019-1020018,discourse,52387be4a44cdeaca5421ee955ba1343e836bade
CVE-2019-1020018,discourse,b8340c6c8e50a71ff1bca9654b9126ca5a84ce9a
CVE-2021-41082,discourse,ddb458343dc39a7a8c99467dcd809b444514fe2c
CVE-2021-41082,discourse,27bad28c530c89acab35a56b945b6a3924280f4b
CVE-2022-21678,discourse,5e2e178fcfb490c37b9f8bb9f737185441b1d6de
CVE-2022-21678,discourse,c0bb775f3f35b1b0d04a5b2a984f57c3e39f9e6c
CVE-2022-31025,discourse,7c4e2d33fa4b922354c177ffc880a2f2701a91f9
CVE-2022-31025,discourse,0fa0094531efc82d9371f90a02aa804b176d59cf
CVE-2014-3994,djblets,50000d0bbb983fa8c097b588d06b64df8df483bd
CVE-2014-3994,djblets,77a68c03cd619a0996f3f37337b8c39ca6643d6e
CVE-2014-3994,djblets,e2c79117efd925636acd871a5f473512602243cf
CVE-2014-3995,djblets,50000d0bbb983fa8c097b588d06b64df8df483bd
CVE-2014-3995,djblets,77ac64642ad530bf69e390c51fc6fdcb8914c8e7
CVE-2014-3995,djblets,e2c79117efd925636acd871a5f473512602243cf
CVE-2012-1226,dolibarr,8f9b9987ffb42cfbe907fe31ded3001bfc1b3417
